Country Name,Country Code,Series Name,Series Code,2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Bangladesh,BGD,GDP per capita (current US$),NY.GDP.PCAP.CD,702.26441,781.1535936,861.7584443,883.1050005,981.8398792,1118.853663,1248.453398,1401.620628,1563.994082,1698.262802,..
Barbados,BRB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-4.859256215,-2.170391966,-0.794701987,-0.066755674,-1.369405478,-0.169319336,2.204884668,2.279013165,-0.173066522,-0.498428866,..
Barbados,BRB,GDP per capita (current US$),NY.GDP.PCAP.CD,15886.13929,16056.11684,16459.05801,16249.89778,16452.03696,16488.52576,16561.87352,16936.90604,17431.60292,17949.28151,..
Belarus,BLR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.19999531,7.798266823,5.37870745,1.687135536,1.003470841,1.726384854,-3.829570558,-2.526446436,2.5321835,3.04990555,..
Belarus,BLR,GDP per capita (current US$),NY.GDP.PCAP.CD,5351.355382,6181.399916,6519.230195,6940.159254,7978.872615,8318.51269,5949.106307,5022.626643,5761.74712,6289.938553,..
Belgium,BEL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-2.020725816,2.864285327,1.694497446,0.739229905,0.45922805,1.57852323,2.032788973,1.511106034,1.964192755,1.458405353,..
Belgium,BEL,GDP per capita (current US$),NY.GDP.PCAP.CD,44583.54481,44141.87814,47348.52502,44673.11588,46744.66254,47700.54036,40991.80814,42012.0999,44219.562,47518.63604,..
Belize,BLZ,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.670801477,3.383471706,2.162606822,2.937812628,0.851934628,3.692371465,3.431950484,-0.58802365,1.437288946,3.035403657,..
Belize,BLZ,GDP per capita (current US$),NY.GDP.PCAP.CD,4243.433284,4270.799647,4423.490439,4505.62068,4568.542051,4705.610045,4775.915077,4818.404394,4887.55982,4884.742421,..
Benin,BEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.32930121,2.110199297,2.962750351,4.816478241,7.189716312,6.351831941,2.095808383,3.96485991,5.837823305,6.858002271,..
Benin,BEN,GDP per capita (current US$),NY.GDP.PCAP.CD,793.4522526,758.4350829,827.0226108,837.8949968,915.5758164,944.931653,784.2784072,789.0849152,829.4788028,901.5438712,..
Bermuda,BMU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-5.284177149,-2.094113534,-3.33949441,-4.834540171,-2.511154431,..,..,..,..,..,..
Bermuda,BMU,GDP per capita (current US$),NY.GDP.PCAP.CD,88463.31282,88207.32756,85973.15842,85458.45551,85748.06541,..,..,..,..,..,..
Bhutan,BTN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.748333764,11.94589599,7.982617054,5.118400862,2.119972769,5.776495541,6.642232227,8.127033384,4.651834826,3.027640595,..
Bhutan,BTN,GDP per capita (current US$),NY.GDP.PCAP.CD,1819.213402,2258.183141,2563.257526,2538.945899,2472.714309,2652.214588,2752.664208,2930.562988,3286.574704,3243.231125,..
Bolivia,BOL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.357001259,4.126719369,5.204095947,5.122274661,6.796011706,5.460567154,4.857188015,4.263919504,4.195209367,4.223624932,..
Bolivia,BOL,GDP per capita (current US$),NY.GDP.PCAP.CD,1754.211061,1955.461557,2346.33717,2609.880819,2908.200085,3081.878834,3035.972215,3076.658949,3351.124053,3548.59014,..
Bosnia and Herzegovina,BIH,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-3.002752537,0.767248702,0.908249218,-0.699622321,2.351036504,1.148034196,3.088222848,3.145651329,2.127645789,3.62354616,..
Bosnia and Herzegovina,BIH,GDP per capita (current US$),NY.GDP.PCAP.CD,4714.702495,4635.517779,5092.551943,4778.636088,5131.394506,5329.635045,4727.277381,4994.68314,5394.59122,6065.672708,..
