,Average Frequency in Cluster
Hotel,0.05970238095238097
Restaurant,0.04303571428571431
Coffee Shop,0.04291666666666668
Café,0.04279761904761905
Bar,0.03922619047619048
Plaza,0.023214285714285715
Park,0.022202380952380956
Bakery,0.018750000000000006
Caribbean Restaurant,0.01869047619047619
Theater,0.017083333333333336
