,Cluster Label,GDP/Capita 2018
count,28.0,28.0
mean,1.0,17910.785714285714
std,0.0,6607.424025191455
min,1.0,8921.0
25%,1.0,12232.5
50%,1.0,16928.5
75%,1.0,23125.75
max,1.0,31651.0
