,Average Frequency in Cluster
Hotel,0.06766017161850497
Restaurant,0.044719454927788276
Café,0.04248326519159852
Coffee Shop,0.036685405643738976
Bar,0.030619288119288126
Italian Restaurant,0.027973384640051314
Bakery,0.021155202821869494
Pizza Place,0.019984706651373318
Park,0.019101631393298065
Eastern European Restaurant,0.016609748276414944
