,Cluster Label,Country,Capital City,GDP/Capita 2018
0,1,Puerto Rico,San Juan,31651
1,1,Spain,Madrid,30371
2,1,Cyprus,Nicosia,28159
3,1,Turks and Caicos Islands,Cockburn Town,27142
4,1,Slovenia,Ljubljana,26124
5,1,Portugal,Lisbon,23408
6,1,Estonia,Tallinn,23266
7,1,Czech Republic,Prague,23079
8,1,Greece,Athens,20324
9,1,Lithuania,Vilnius,19153
10,1,Barbados,Bridgetown,17949
11,1,Latvia,Riga,17861
12,1,Uruguay,Montevideo,17278
13,1,Trinidad and Tobago,Port of Spain,17130
14,1,Antigua and Barbuda,St. John's,16727
15,1,Hungary,Budapest,16162
16,1,Chile,Santiago,15923
17,1,Panama,Panama City,15575
18,1,Poland,Warsaw,15421
19,1,Croatia,Zagreb,14910
20,1,Romania,Bucharest,12301
21,1,Costa Rica,San José,12027
22,1,Argentina,Buenos Aires,11684
23,1,Grenada,St. George's,10640
24,1,Mexico,Mexico City,9673
25,1,Turkey,Ankara,9370
26,1,Bulgaria,Sofia,9273
27,1,Brazil,Brasília,8921
