,Cluster Label,GDP/Capita 2018
count,24.0,24.0
mean,2.0,5496.583333333333
std,0.0,2083.292125389559
min,2.0,868.0
25%,2.0,4426.25
50%,2.0,5944.0
75%,2.0,6736.25
max,2.0,8844.0
