,Average Frequency in Cluster
Hotel,0.06327409432672593
Coffee Shop,0.044354066985645944
Café,0.04074504442925496
Restaurant,0.03593301435406699
Plaza,0.03119617224880383
Bar,0.029617224880382775
Park,0.020813397129186607
Cocktail Bar,0.019617224880382776
Historic Site,0.019473684210526317
Theater,0.017368421052631578
