Country,Region,Income Group
Slovenia,Europe & Central Asia,3
Solomon Islands,East Asia & Pacific,1
Somalia,Sub-Saharan Africa,0
South Africa,Sub-Saharan Africa,2
South Sudan,Sub-Saharan Africa,0
Spain,Europe & Central Asia,3
Sri Lanka,South Asia,2
St. Kitts and Nevis,Latin America & Caribbean,3
St. Lucia,Latin America & Caribbean,2
St. Martin (French part),Latin America & Caribbean,3
St. Vincent and the Grenadines,Latin America & Caribbean,2
Sudan,Sub-Saharan Africa,1
Suriname,Latin America & Caribbean,2
Sweden,Europe & Central Asia,3
Switzerland,Europe & Central Asia,3
Syrian Arab Republic,Middle East & North Africa,0
Tajikistan,Europe & Central Asia,0
Tanzania,Sub-Saharan Africa,0
Thailand,East Asia & Pacific,2
Timor-Leste,East Asia & Pacific,1
Togo,Sub-Saharan Africa,0
Tonga,East Asia & Pacific,2
Trinidad and Tobago,Latin America & Caribbean,3
Tunisia,Middle East & North Africa,1
Turkey,Europe & Central Asia,2
Turkmenistan,Europe & Central Asia,2
Turks and Caicos Islands,Latin America & Caribbean,3
Tuvalu,East Asia & Pacific,2
Uganda,Sub-Saharan Africa,0
Ukraine,Europe & Central Asia,1
United Arab Emirates,Middle East & North Africa,3
United Kingdom,Europe & Central Asia,3
United States,North America,3
Uruguay,Latin America & Caribbean,3
Uzbekistan,Europe & Central Asia,1
Vanuatu,East Asia & Pacific,1
Venezuela,Latin America & Caribbean,2
Vietnam,East Asia & Pacific,1
Virgin Islands,Latin America & Caribbean,3
West Bank and Gaza,Middle East & North Africa,1
Yemen,Middle East & North Africa,0
Zambia,Sub-Saharan Africa,1
Zimbabwe,Sub-Saharan Africa,1
