,Average Frequency in Cluster
Hotel,0.05811428571428573
Restaurant,0.04171428571428573
Coffee Shop,0.04160000000000001
Café,0.04148571428571429
Bar,0.03965714285714286
Plaza,0.022285714285714287
Park,0.022114285714285718
Bakery,0.020000000000000004
Caribbean Restaurant,0.017942857142857142
Theater,0.0164
