,Cluster Label,GDP/Capita 2018
count,27.0,27.0
mean,2.0,18243.74074074074
std,0.0,6489.512157749922
min,2.0,9273.0
25%,2.0,13605.5
50%,2.0,17130.0
75%,2.0,23172.5
max,2.0,31651.0
