,Cluster Label,Country,Capital City,GDP/Capita 2018
0,2,Puerto Rico,San Juan,31651
1,2,Spain,Madrid,30371
2,2,Cyprus,Nicosia,28159
3,2,Turks and Caicos Islands,Cockburn Town,27142
4,2,Slovenia,Ljubljana,26124
5,2,Portugal,Lisbon,23408
6,2,Estonia,Tallinn,23266
7,2,Czech Republic,Prague,23079
8,2,Greece,Athens,20324
9,2,Lithuania,Vilnius,19153
10,2,Barbados,Bridgetown,17949
11,2,Latvia,Riga,17861
12,2,Uruguay,Montevideo,17278
13,2,Trinidad and Tobago,Port of Spain,17130
14,2,Antigua and Barbuda,St. John's,16727
15,2,Hungary,Budapest,16162
16,2,Chile,Santiago,15923
17,2,Panama,Panama City,15575
18,2,Poland,Warsaw,15421
19,2,Croatia,Zagreb,14910
20,2,Romania,Bucharest,12301
21,2,Costa Rica,San José,12027
22,2,Argentina,Buenos Aires,11684
23,2,Grenada,St. George's,10640
24,2,Mexico,Mexico City,9673
25,2,Turkey,Ankara,9370
26,2,Bulgaria,Sofia,9273
